pno,ano
1,1
1,2
1,3
1,4
1,5
1,6
2,7
2,8
2,9
2,10
2,11
2,12
3,13
3,14
3,15
3,16
3,17
3,18
91,19
91,20
91,21
91,22
91,23
91,24
92,25
92,26
92,27
92,28
92,29
92,30
93,31
93,32
93,33
93,34
93,35
93,36
181,37
181,38
181,39
181,40
181,41
181,42
182,43
182,44
182,45
182,46
182,47
182,48
183,49
183,50
183,51
183,52
183,53
183,54
4,55
4,56
4,57
4,58
4,59
4,60
5,61
5,62
5,63
5,64
5,65
5,66
6,67
6,68
6,69
6,70
6,71
6,72
94,73
94,74
94,75
94,76
94,77
94,78
95,79
95,80
95,81
95,82
95,83
95,84
96,85
96,86
96,87
96,88
96,89
96,90
184,91
184,92
184,93
184,94
184,95
184,96
185,97
185,98
185,99
185,100
185,101
185,102
186,103
186,104
186,105
186,106
186,107
186,108
7,109
97,109
7,110
97,110
7,111
97,111
7,112
97,112
7,113
97,113
7,114
97,114
8,115
8,116
8,117
8,118
8,119
8,120
9,121
9,122
9,123
9,124
9,125
9,126
98,133
98,134
98,135
98,136
98,137
98,138
99,139
99,140
99,141
99,142
99,143
99,144
187,145
187,146
187,147
187,148
187,149
187,150
188,151
188,152
188,153
188,154
188,155
188,156
189,157
189,158
189,159
189,160
189,161
189,162
10,163
10,164
10,165
10,166
10,167
10,168
11,169
11,170
11,171
11,172
11,173
11,174
12,175
12,176
12,177
12,178
12,179
12,180
100,181
100,182
100,183
100,184
100,185
100,186
101,187
101,188
101,189
101,190
101,191
101,192
102,193
102,194
102,195
102,196
102,197
102,198
190,199
190,200
190,201
190,202
190,203
190,204
191,205
191,206
191,207
191,208
191,209
191,210
192,211
192,212
192,213
192,214
192,215
192,216
13,217
13,218
13,219
13,220
13,221
13,222
14,223
14,224
14,225
14,226
14,227
14,228
15,229
15,230
15,231
15,232
15,233
15,234
103,235
103,236
103,237
103,238
103,239
103,240
104,241
104,242
104,243
104,244
104,245
104,246
105,247
105,248
105,249
105,250
105,251
105,252
193,253
193,254
193,255
193,256
193,257
193,258
194,259
194,260
194,261
194,262
194,263
194,264
195,265
195,266
195,267
195,268
195,269
195,270
16,271
16,272
16,273
16,274
16,275
16,276
17,277
17,278
17,279
17,280
17,281
17,282
18,283
18,284
18,285
18,286
18,287
18,288
106,289
106,290
106,291
106,292
106,293
106,294
107,295
107,296
107,297
107,298
107,299
107,300
108,301
108,302
108,303
108,304
108,305
108,306
196,307
196,308
196,309
196,310
196,311
196,312
197,313
197,314
197,315
197,316
197,317
197,318
198,319
198,320
198,321
198,322
198,323
198,324
19,325
19,326
19,327
19,328
19,329
19,330
20,331
20,332
20,333
20,334
20,335
20,336
21,337
21,338
21,339
21,340
21,341
21,342
109,343
109,344
109,345
109,346
109,347
109,348
110,349
110,350
110,351
110,352
110,353
110,354
111,355
111,356
111,357
111,358
111,359
111,360
199,361
199,362
199,363
199,364
199,365
199,366
200,367
200,368
200,369
200,370
200,371
200,372
201,373
201,374
201,375
201,376
201,377
201,378
22,379
22,380
22,381
22,382
22,383
22,384
23,385
23,386
23,387
23,388
23,389
23,390
24,391
24,392
24,393
24,394
24,395
24,396
112,397
112,398
112,399
112,400
112,401
112,402
113,403
113,404
113,405
113,406
113,407
113,408
114,409
114,410
114,411
114,412
114,413
114,414
202,415
202,416
202,417
202,418
202,419
202,420
203,421
203,422
203,423
203,424
203,425
203,426
204,427
204,428
204,429
204,430
204,431
204,432
25,433
25,434
25,435
25,436
25,437
25,438
26,439
26,440
26,441
26,442
26,443
26,444
27,445
27,446
27,447
27,448
27,449
27,450
115,451
115,452
115,453
115,454
115,455
115,456
116,457
116,458
116,459
116,460
116,461
116,462
117,463
117,464
117,465
117,466
117,467
117,468
205,469
205,470
205,471
205,472
205,473
205,474
206,475
206,476
206,477
206,478
206,479
206,480
207,481
207,482
207,483
207,484
207,485
207,486
28,487
28,488
28,489
28,490
28,491
28,492
29,493
29,494
29,495
29,496
29,497
29,498
30,499
30,500
30,501
30,502
30,503
30,504
118,505
118,506
118,507
118,508
118,509
118,510
119,511
119,512
119,513
119,514
119,515
119,516
120,517
120,518
120,519
120,520
120,521
120,522
208,523
208,524
208,525
208,526
208,527
208,528
209,529
209,530
209,531
209,532
209,533
209,534
210,535
210,536
210,537
210,538
210,539
210,540
31,541
31,542
31,543
31,544
31,545
31,546
32,547
32,548
32,549
32,550
32,551
32,552
33,553
33,554
33,555
33,556
33,557
33,558
121,559
121,560
121,561
121,562
121,563
121,564
122,565
122,566
122,567
122,568
122,569
122,570
123,571
123,572
123,573
123,574
123,575
123,576
211,577
211,578
211,579
211,580
211,581
211,582
212,583
212,584
212,585
212,586
212,587
212,588
213,589
213,590
213,591
213,592
213,593
213,594
34,595
34,596
34,597
34,598
34,599
34,600
35,601
35,602
35,603
35,604
35,605
35,606
36,607
36,608
36,609
36,610
36,611
36,612
124,613
124,614
124,615
124,616
124,617
124,618
125,619
125,620
125,621
125,622
125,623
125,624
126,625
126,626
126,627
126,628
126,629
126,630
214,631
214,632
214,633
214,634
214,635
214,636
215,637
215,638
215,639
215,640
215,641
215,642
216,643
216,644
216,645
216,646
216,647
216,648
37,649
37,650
37,651
37,652
37,653
37,654
38,655
38,656
38,657
38,658
38,659
38,660
39,661
39,662
39,663
39,664
39,665
39,666
127,667
127,668
127,669
127,670
127,671
127,672
128,673
128,674
128,675
128,676
128,677
128,678
129,679
129,680
129,681
129,682
129,683
129,684
217,685
217,686
217,687
217,688
217,689
217,690
218,691
218,692
218,693
218,694
218,695
218,696
219,697
219,698
219,699
219,700
219,701
219,702
40,703
40,704
40,705
40,706
40,707
40,708
41,709
41,710
41,711
41,712
41,713
41,714
42,715
42,716
42,717
42,718
42,719
42,720
130,721
130,722
130,723
130,724
130,725
130,726
131,727
131,728
131,729
131,730
131,731
131,732
132,733
132,734
132,735
132,736
132,737
132,738
220,739
220,740
220,741
220,742
220,743
220,744
221,745
221,746
221,747
221,748
221,749
221,750
222,751
222,752
222,753
222,754
222,755
222,756
43,757
43,758
43,759
43,760
43,761
43,762
44,763
44,764
44,765
44,766
44,767
44,768
45,769
45,770
45,771
45,772
45,773
45,774
133,775
133,776
133,777
133,778
133,779
133,780
134,781
134,782
134,783
134,784
134,785
134,786
135,787
135,788
135,789
135,790
135,791
135,792
223,793
223,794
223,795
223,796
223,797
223,798
224,799
224,800
224,801
224,802
224,803
224,804
225,805
225,806
225,807
225,808
225,809
225,810
46,811
46,812
46,813
46,814
46,815
46,816
47,817
47,818
47,819
47,820
47,821
47,822
48,823
48,824
48,825
48,826
48,827
48,828
49,829
136,829
136,830
136,831
136,832
136,833
136,834
137,835
137,836
137,837
137,838
137,839
137,840
138,841
138,842
138,843
138,844
138,845
138,846
226,847
226,848
226,849
226,850
226,851
226,852
227,853
227,854
227,855
227,856
227,857
227,858
228,859
228,860
228,861
228,862
228,863
228,864
49,866
49,867
49,868
49,869
49,870
50,871
50,872
50,873
50,874
50,875
50,876
51,877
51,878
51,879
51,880
51,881
51,882
139,883
139,884
139,885
139,886
139,887
139,888
140,889
140,890
140,891
140,892
140,893
140,894
141,895
141,896
141,897
141,898
141,899
141,900
229,901
229,902
229,903
229,904
229,905
229,906
230,907
230,908
230,909
230,910
230,911
230,912
231,913
231,914
231,915
231,916
231,917
231,918
52,919
52,920
52,921
52,922
52,923
52,924
53,925
53,926
53,927
53,928
53,929
53,930
54,931
54,932
54,933
54,934
54,935
54,936
142,937
142,938
142,939
142,940
142,941
142,942
143,943
143,944
143,945
143,946
143,947
143,948
144,949
144,950
144,951
144,952
144,953
144,954
232,955
232,956
232,957
232,958
232,959
232,960
233,961
233,962
233,963
233,964
233,965
233,966
234,967
234,968
234,969
234,970
234,971
234,972
55,973
55,974
55,975
55,976
55,977
55,978
56,979
56,980
56,981
56,982
56,983
56,984
57,985
57,986
57,987
57,988
57,989
57,990
145,991
145,992
145,993
145,994
145,995
145,996
146,997
146,998
146,999
146,1000
146,1001
146,1002
147,1003
147,1004
147,1005
147,1006
147,1007
147,1008
235,1009
235,1010
235,1011
235,1012
235,1013
235,1014
236,1015
236,1016
236,1017
236,1018
236,1019
236,1020
237,1021
237,1022
237,1023
237,1024
237,1025
237,1026
58,1027
58,1028
58,1029
58,1030
58,1031
58,1032
59,1033
59,1034
59,1035
59,1036
59,1037
59,1038
60,1039
60,1040
60,1041
60,1042
60,1043
60,1044
148,1045
148,1046
148,1047
148,1048
148,1049
148,1050
149,1051
149,1052
149,1053
149,1054
149,1055
149,1056
150,1057
150,1058
150,1059
150,1060
150,1061
150,1062
238,1063
238,1064
238,1065
238,1066
238,1067
238,1068
239,1069
239,1070
239,1071
239,1072
239,1073
239,1074
240,1075
240,1076
240,1077
240,1078
240,1079
240,1080
61,1081
61,1082
61,1083
61,1084
61,1085
61,1086
62,1087
62,1088
62,1089
62,1090
62,1091
62,1092
63,1093
63,1094
63,1095
63,1096
63,1097
63,1098
151,1099
151,1100
151,1101
151,1102
151,1103
151,1104
152,1105
152,1106
152,1107
152,1108
152,1109
152,1110
153,1111
153,1112
153,1113
153,1114
153,1115
153,1116
241,1117
241,1118
241,1119
241,1120
241,1121
241,1122
242,1123
242,1124
242,1125
242,1126
242,1127
242,1128
243,1129
243,1130
243,1131
243,1132
243,1133
243,1134
64,1135
64,1136
64,1137
64,1138
64,1139
64,1140
65,1141
65,1142
65,1143
65,1144
65,1145
65,1146
66,1147
66,1148
66,1149
66,1150
66,1151
66,1152
154,1153
154,1154
154,1155
154,1156
154,1157
154,1158
155,1159
155,1160
155,1161
155,1162
155,1163
155,1164
156,1165
156,1166
156,1167
156,1168
156,1169
156,1170
244,1171
244,1172
244,1173
244,1174
244,1175
244,1176
245,1177
245,1178
245,1179
245,1180
245,1181
245,1182
246,1183
246,1184
246,1185
246,1186
246,1187
246,1188
67,1189
67,1190
67,1191
67,1192
67,1193
67,1194
68,1195
68,1196
68,1197
68,1198
68,1199
68,1200
69,1201
69,1202
69,1203
69,1204
69,1205
69,1206
157,1207
157,1208
157,1209
157,1210
157,1211
157,1212
158,1213
158,1214
158,1215
158,1216
158,1217
158,1218
159,1219
159,1220
159,1221
159,1222
159,1223
159,1224
247,1225
247,1226
247,1227
247,1228
247,1229
247,1230
248,1231
248,1232
248,1233
248,1234
248,1235
248,1236
249,1237
249,1238
249,1239
249,1240
249,1241
249,1242
70,1243
70,1244
70,1245
70,1246
70,1247
70,1248
71,1249
71,1250
71,1251
71,1252
71,1253
71,1254
72,1255
72,1256
72,1257
72,1258
72,1259
72,1260
160,1261
160,1262
160,1263
160,1264
160,1265
160,1266
161,1267
161,1268
161,1269
161,1270
161,1271
161,1272
162,1273
162,1274
162,1275
162,1276
162,1277
162,1278
250,1279
250,1280
250,1281
250,1282
250,1283
250,1284
251,1285
251,1286
251,1287
251,1288
251,1289
251,1290
252,1291
252,1292
252,1293
252,1294
252,1295
252,1296
73,1297
73,1298
73,1299
73,1300
73,1301
73,1302
74,1303
74,1304
74,1305
74,1306
74,1307
74,1308
75,1309
75,1310
75,1311
75,1312
75,1313
75,1314
163,1315
163,1316
163,1317
163,1318
163,1319
163,1320
164,1321
164,1322
164,1323
164,1324
164,1325
164,1326
165,1327
165,1328
165,1329
165,1330
165,1331
165,1332
253,1333
253,1334
253,1335
253,1336
253,1337
253,1338
254,1339
254,1340
254,1341
254,1342
254,1343
254,1344
255,1345
255,1346
255,1347
255,1348
255,1349
255,1350
76,1351
76,1352
76,1353
76,1354
76,1355
76,1356
77,1357
77,1358
77,1359
77,1360
77,1361
77,1362
78,1363
78,1364
78,1365
78,1366
78,1367
78,1368
166,1369
166,1370
166,1371
166,1372
166,1373
166,1374
167,1375
167,1376
167,1377
167,1378
167,1379
167,1380
168,1381
168,1382
168,1383
168,1384
168,1385
168,1386
256,1387
256,1388
256,1389
256,1390
256,1391
256,1392
257,1393
257,1394
257,1395
257,1396
257,1397
257,1398
258,1399
258,1400
258,1401
258,1402
258,1403
258,1404
79,1405
79,1406
79,1407
79,1408
79,1409
79,1410
80,1411
80,1412
80,1413
80,1414
80,1415
80,1416
81,1417
81,1418
81,1419
81,1420
81,1421
81,1422
169,1423
169,1424
169,1425
169,1426
169,1427
169,1428
170,1429
170,1430
170,1431
170,1432
170,1433
170,1434
171,1435
171,1436
171,1437
171,1438
171,1439
171,1440
259,1441
259,1442
259,1443
259,1444
259,1445
259,1446
260,1447
260,1448
260,1449
260,1450
260,1451
260,1452
261,1453
261,1454
261,1455
261,1456
261,1457
261,1458
82,1459
82,1460
82,1461
82,1462
82,1463
82,1464
83,1465
83,1466
83,1467
83,1468
83,1469
83,1470
84,1471
84,1472
84,1473
84,1474
84,1475
84,1476
172,1477
172,1478
172,1479
172,1480
172,1481
172,1482
173,1483
173,1484
173,1485
173,1486
173,1487
173,1488
174,1489
174,1490
174,1491
174,1492
174,1493
174,1494
262,1495
262,1496
262,1497
262,1498
262,1499
262,1500
263,1501
263,1502
263,1503
263,1504
263,1505
263,1506
264,1507
264,1508
