pno,rno
1,5
4,10
28,50
33,50
37,65
40,70
7,165
34,165
10,170
35,170
13,175
16,180
19,185
22,190
25,195
31,205
43,225
46,230
49,235
52,240
55,245
58,250
61,255
64,260
67,265
70,270
73,275
76,280
79,285
82,290
88,300
91,305
97,315
100,320
103,325
106,330
109,335
112,340
115,345
121,355
94,460
118,500
124,510
127,515
130,520
133,525
136,530
139,535
142,540
145,545
148,550
151,555
154,560
157,565
160,570
163,575
166,580
169,585
172,590
175,595
193,625
196,630
211,655
214,660
232,690
235,695
253,725
256,730
181,755
184,760
187,765
199,785
202,790
205,795
208,800
217,815
220,820
223,825
229,835
238,850
241,855
244,860
247,865
250,870
259,885
262,890
265,895
268,900
2,905
11,920
14,925
32,955
53,990
56,995
74,1025
77,1030
5,1060
8,1065
17,1080
20,1085
23,1090
26,1095
29,1100
38,1115
41,1120
44,1125
47,1130
50,1135
59,1150
62,1155
65,1160
68,1165
71,1170
72,1170
80,1185
83,1190
85,1195
86,1195
89,1200
95,1210
98,1215
101,1220
104,1225
107,1230
110,1235
113,1240
116,1245
179,1350
92,1355
119,1400
122,1405
125,1410
128,1415
131,1420
134,1425
137,1430
140,1435
143,1440
146,1445
149,1450
152,1455
155,1460
158,1465
161,1470
164,1475
167,1480
170,1485
173,1490
176,1495
178,1500
191,1520
182,1655
185,1660
188,1665
194,1675
197,1680
200,1685
203,1690
206,1695
209,1700
212,1705
215,1710
218,1715
221,1720
224,1725
227,1730
230,1735
233,1740
236,1745
239,1750
242,1755
245,1760
248,1765
251,1770
254,1775
257,1780
260,1785
263,1790
266,1795
269,1800
3,1805
6,1960
9,1965
12,1970
15,1975
18,1980
21,1985
24,1990
27,1995
30,2000
36,2010
39,2015
42,2020
45,2025
48,2030
54,2040
57,2045
60,2050
63,2055
66,2060
69,2065
75,2075
78,2080
81,2085
84,2090
87,2095
90,2100
96,2110
135,2175
93,2255
99,2265
102,2270
105,2275
108,2280
111,2285
114,2290
117,2295
120,2300
123,2305
126,2310
129,2315
132,2320
138,2330
141,2335
144,2340
147,2345
150,2350
153,2355
156,2360
159,2365
162,2370
165,2375
168,2380
171,2385
174,2390
177,2395
180,2400
195,2575
213,2605
216,2610
237,2645
255,2675
258,2680
183,2705
186,2710
189,2715
192,2720
198,2730
201,2735
204,2740
207,2745
210,2750
219,2765
222,2770
225,2775
228,2780
51,2785
231,2785
240,2800
243,2805
246,2810
249,2815
252,2820
261,2835
264,2840
226,2845
234,2845
267,2845
190,2850
270,2850
271,275
274,280
298,320
303,320
307,335
310,340
277,435
304,435
280,440
305,440
283,445
286,450
289,455
292,460
295,465
301,475
313,495
316,500
319,505
322,510
325,515
328,520
331,525
334,530
337,535
340,540
343,545
346,550
349,555
352,560
358,570
361,575
367,585
370,590
373,595
376,600
379,605
382,610
385,615
391,625
364,730
388,770
394,780
397,785
400,790
403,795
406,800
409,805
412,810
415,815
418,820
421,825
424,830
427,835
430,840
433,845
436,850
439,855
442,860
445,865
463,895
466,900
481,925
484,930
502,960
505,965
523,995
526,1000
451,1025
454,1030
457,1035
469,1055
472,1060
475,1065
478,1070
487,1085
490,1090
493,1095
499,1105
508,1120
511,1125
514,1130
517,1135
520,1140
529,1155
532,1160
535,1165
538,1170
272,1175
281,1190
284,1195
302,1225
323,1260
326,1265
344,1295
347,1300
275,1330
278,1335
287,1350
290,1355
293,1360
296,1365
299,1370
308,1385
311,1390
314,1395
317,1400
320,1405
329,1420
332,1425
335,1430
338,1435
341,1440
342,1440
350,1455
353,1460
355,1465
356,1465
359,1470
365,1480
368,1485
371,1490
374,1495
377,1500
380,1505
383,1510
386,1515
449,1620
362,1625
389,1670
392,1675
395,1680
398,1685
401,1690
404,1695
407,1700
410,1705
413,1710
416,1715
419,1720
422,1725
425,1730
428,1735
431,1740
434,1745
437,1750
440,1755
443,1760
446,1765
448,1770
461,1790
452,1925
455,1930
458,1935
464,1945
467,1950
470,1955
473,1960
476,1965
479,1970
482,1975
485,1980
488,1985
491,1990
494,1995
497,2000
500,2005
503,2010
506,2015
509,2020
512,2025
515,2030
518,2035
521,2040
524,2045
527,2050
530,2055
533,2060
536,2065
539,2070
273,2075
276,2230
279,2235
282,2240
285,2245
288,2250
291,2255
294,2260
297,2265
300,2270
306,2280
309,2285
312,2290
315,2295
318,2300
324,2310
327,2315
330,2320
333,2325
336,2330
339,2335
345,2345
348,2350
351,2355
354,2360
357,2365
360,2370
366,2380
405,2445
363,2525
369,2535
372,2540
375,2545
378,2550
381,2555
384,2560
387,2565
390,2570
393,2575
396,2580
399,2585
402,2590
408,2600
411,2605
414,2610
417,2615
420,2620
423,2625
426,2630
429,2635
432,2640
435,2645
438,2650
441,2655
444,2660
447,2665
450,2670
465,2845
483,2875
486,2880
507,2915
525,2945
528,2950
453,2975
456,2980
459,2985
462,2990
468,3000
471,3005
474,3010
477,3015
480,3020
489,3035
492,3040
495,3045
498,3050
321,3055
501,3055
510,3070
513,3075
516,3080
519,3085
522,3090
531,3105
534,3110
496,3115
504,3115
537,3115
460,3120
540,3120
541,545
544,550
568,590
573,590
577,605
580,610
547,705
574,705
550,710
575,710
553,715
556,720
559,725
562,730
565,735
571,745
583,765
586,770
589,775
592,780
595,785
598,790
601,795
604,800
607,805
610,810
613,815
616,820
619,825
622,830
628,840
631,845
637,855
640,860
643,865
646,870
649,875
652,880
655,885
661,895
634,1000
658,1040
664,1050
667,1055
670,1060
673,1065
676,1070
679,1075
682,1080
685,1085
688,1090
691,1095
694,1100
697,1105
700,1110
703,1115
706,1120
709,1125
712,1130
715,1135
733,1165
736,1170
751,1195
754,1200
772,1230
775,1235
793,1265
796,1270
721,1295
724,1300
727,1305
739,1325
742,1330
745,1335
748,1340
757,1355
760,1360
763,1365
769,1375
778,1390
781,1395
784,1400
787,1405
790,1410
799,1425
802,1430
805,1435
808,1440
542,1445
551,1460
554,1465
572,1495
593,1530
596,1535
614,1565
617,1570
545,1600
548,1605
557,1620
560,1625
563,1630
566,1635
569,1640
578,1655
581,1660
584,1665
587,1670
590,1675
599,1690
602,1695
605,1700
608,1705
611,1710
612,1710
620,1725
623,1730
625,1735
626,1735
629,1740
635,1750
638,1755
641,1760
644,1765
647,1770
650,1775
653,1780
656,1785
719,1890
632,1895
659,1940
662,1945
665,1950
668,1955
671,1960
674,1965
677,1970
680,1975
683,1980
686,1985
689,1990
692,1995
695,2000
698,2005
701,2010
704,2015
707,2020
710,2025
713,2030
716,2035
718,2040
731,2060
722,2195
725,2200
728,2205
734,2215
737,2220
740,2225
743,2230
746,2235
749,2240
752,2245
755,2250
758,2255
761,2260
764,2265
767,2270
770,2275
773,2280
776,2285
779,2290
782,2295
785,2300
788,2305
791,2310
794,2315
797,2320
800,2325
803,2330
806,2335
809,2340
543,2345
546,2500
549,2505
552,2510
555,2515
558,2520
561,2525
564,2530
567,2535
570,2540
576,2550
579,2555
582,2560
585,2565
588,2570
594,2580
597,2585
600,2590
603,2595
606,2600
609,2605
615,2615
618,2620
621,2625
624,2630
627,2635
630,2640
636,2650
675,2715
633,2795
639,2805
642,2810
645,2815
648,2820
651,2825
654,2830
657,2835
660,2840
663,2845
666,2850
669,2855
672,2860
678,2870
681,2875
684,2880
687,2885
690,2890
693,2895
696,2900
699,2905
702,2910
705,2915
708,2920
711,2925
714,2930
717,2935
720,2940
735,3115
753,3145
756,3150
777,3185
795,3215
798,3220
723,3245
726,3250
729,3255
732,3260
738,3270
741,3275
744,3280
747,3285
750,3290
759,3305
762,3310
765,3315
768,3320
591,3325
771,3325
780,3340
783,3345
786,3350
789,3355
792,3360
801,3375
804,3380
766,3385
774,3385
807,3385
730,3390
810,3390
811,815
814,820
838,860
843,860
847,875
850,880
817,975
844,975
820,980
845,980
823,985
826,990
829,995
832,1000
835,1005
841,1015
853,1035
856,1040
859,1045
862,1050
865,1055
868,1060
871,1065
874,1070
877,1075
880,1080
883,1085
886,1090
889,1095
892,1100
898,1110
901,1115
907,1125
910,1130
913,1135
916,1140
919,1145
922,1150
925,1155
931,1165
904,1270
928,1310
934,1320
937,1325
940,1330
943,1335
946,1340
949,1345
952,1350
955,1355
958,1360
961,1365
964,1370
967,1375
970,1380
973,1385
976,1390
979,1395
982,1400
985,1405
1003,1435
1006,1440
1021,1465
1024,1470
1042,1500
1045,1505
1063,1535
1066,1540
991,1565
994,1570
997,1575
1009,1595
1012,1600
1015,1605
1018,1610
1027,1625
1030,1630
1033,1635
1039,1645
1048,1660
1051,1665
1054,1670
1057,1675
1060,1680
1069,1695
1072,1700
1075,1705
1078,1710
812,1715
821,1730
824,1735
842,1765
863,1800
866,1805
884,1835
887,1840
815,1870
818,1875
827,1890
830,1895
833,1900
836,1905
839,1910
848,1925
851,1930
854,1935
857,1940
860,1945
869,1960
872,1965
875,1970
878,1975
881,1980
882,1980
890,1995
893,2000
895,2005
896,2005
899,2010
905,2020
908,2025
911,2030
914,2035
917,2040
920,2045
923,2050
926,2055
989,2160
902,2165
929,2210
932,2215
935,2220
938,2225
941,2230
944,2235
947,2240
950,2245
953,2250
956,2255
959,2260
962,2265
965,2270
968,2275
971,2280
974,2285
977,2290
980,2295
983,2300
986,2305
988,2310
1001,2330
992,2465
995,2470
998,2475
1004,2485
1007,2490
1010,2495
1013,2500
1016,2505
1019,2510
1022,2515
1025,2520
1028,2525
1031,2530
1034,2535
1037,2540
1040,2545
1043,2550
1046,2555
1049,2560
1052,2565
1055,2570
1058,2575
1061,2580
1064,2585
1067,2590
1070,2595
1073,2600
1076,2605
1079,2610
813,2615
816,2770
819,2775
822,2780
825,2785
828,2790
831,2795
834,2800
837,2805
840,2810
846,2820
849,2825
852,2830
855,2835
858,2840
864,2850
867,2855
870,2860
873,2865
876,2870
879,2875
885,2885
888,2890
891,2895
894,2900
897,2905
900,2910
906,2920
945,2985
903,3065
909,3075
912,3080
915,3085
918,3090
921,3095
924,3100
927,3105
930,3110
933,3115
936,3120
939,3125
942,3130
948,3140
951,3145
954,3150
957,3155
960,3160
963,3165
966,3170
969,3175
972,3180
975,3185
978,3190
981,3195
984,3200
987,3205
990,3210
1005,3385
1023,3415
1026,3420
1047,3455
1065,3485
1068,3490
993,3515
996,3520
999,3525
1002,3530
1008,3540
1011,3545
1014,3550
1017,3555
1020,3560
1029,3575
1032,3580
1035,3585
1038,3590
861,3595
1041,3595
1050,3610
1053,3615
1056,3620
1059,3625
1062,3630
1071,3645
1074,3650
1036,3655
1044,3655
1077,3655
1000,3660
1080,3660
1081,1085
1084,1090
1108,1130
1113,1130
1117,1145
1120,1150
1087,1245
1114,1245
1090,1250
1115,1250
1093,1255
1096,1260
1099,1265
1102,1270
1105,1275
1111,1285
1123,1305
1126,1310
1129,1315
1132,1320
1135,1325
1138,1330
1141,1335
1144,1340
1147,1345
1150,1350
1153,1355
1156,1360
1159,1365
1162,1370
1168,1380
1171,1385
1177,1395
1180,1400
1183,1405
1186,1410
1189,1415
1192,1420
1195,1425
1201,1435
1174,1540
1198,1580
1204,1590
1207,1595
1210,1600
1213,1605
1216,1610
1219,1615
1222,1620
1225,1625
1228,1630
1231,1635
1234,1640
1237,1645
1240,1650
1243,1655
1246,1660
1249,1665
1252,1670
1255,1675
1273,1705
1276,1710
1291,1735
1294,1740
1312,1770
1315,1775
1333,1805
1336,1810
1261,1835
1264,1840
1267,1845
1279,1865
1282,1870
1285,1875
1288,1880
1297,1895
1300,1900
1303,1905
1309,1915
1318,1930
1321,1935
1324,1940
1327,1945
1330,1950
1339,1965
1342,1970
1345,1975
1348,1980
1082,1985
1091,2000
1094,2005
1112,2035
1133,2070
1136,2075
1154,2105
1157,2110
1085,2140
1088,2145
1097,2160
1100,2165
1103,2170
