no,tname ,tlocation,startdate,enddate,taddr,etime,capacity,tprice,ldiv,pdiv
1,"백록담을 보러 가자, 한라산 등반 ",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 조천읍 516로 1865,9:30:00,45,10000,1,0
2,"우도를 돌아보자, 우도 투어",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 우도면,8:00:00,45,30000,1,0
3,용머리를 닮은 바위가 신기하지? 용두암 투어,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 용담2동 용두암길 15,1:00:00,45,10000,1,0
4,"바다와 민물이 만나는 계곡, 용연계곡",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 용담2동 368-3,1:00:00,45,10000,1,0
5,"녹차 박물관은 처음이지?, 오셜록 티 뮤지엄",제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 안덕면 신화역사로 15,1:00:00,45,20000,1,0
6,"해를 보고 싶나? 여기 여기 모여라, 성산일출봉",제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 성산리 1,1:00:00,45,10000,1,0
7,"나는 올인이다! 올인 촬영 장소, 섭지코지",제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 섭지코지로,1:00:00,45,5000,1,0
8,"한국의 바르셀로나를 보고 싶으면 여기, 지니어스 로사이",제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 고성리 21,1:00:00,45,10000,1,0
9,"세계에서 가장 용암동굴은?, 만장굴",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 구좌읍 만장굴길 182,2:00:00,45,5000,1,0
10,"한국 체험은 어디에서?, 제주 민속촌",제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 표선면 민속해안로 631-34,3:00:00,45,12000,1,0
11,제주를 느끼고 싶다면? 올레길 투어 1코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 시흥상동로 113,5:00:00,45,5000,1,0
12,제주를 느끼고 싶다면? 올레길 투어 2코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 섭지코지로 107,5:00:00,45,5000,1,0
13,제주를 느끼고 싶다면? 올레길 투어 3코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 성산읍 온평리 1111,7:00:00,45,5000,1,0
14,제주를 느끼고 싶다면? 올레길 투어 4코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 표선면 표선리,6:00:00,45,5000,1,0
15,제주를 느끼고 싶다면? 올레길 투어 5코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 남원읍 남원회관로 53,5:00:00,45,5000,1,0
16,제주를 느끼고 싶다면? 올레길 투어 6코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 남원읍,4:00:00,45,5000,1,0
17,제주를 느끼고 싶다면? 올레길 투어 7코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 서귀동 중정로 22,6:00:00,45,5000,1,0
18,제주를 느끼고 싶다면? 올레길 투어 8코스,제주,2020-04-01,2020-04-01,제부특별자치도 서귀포시 월평동,6:00:00,45,5000,1,0
19,제주를 느끼고 싶다면? 올레길 투어 9코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 안덕면 감산리 982-2,4:00:00,45,5000,1,0
20,제주를 느끼고 싶다면? 올레길 투어 10코스,제주,2020-04-01,2020-04-01,서귀포시 안덕면 화순리 813-9,6:00:00,45,5000,1,0
21,제주를 느끼고 싶다면? 올레길 투어 11코스,제주,2020-04-01,2020-04-01,서귀포시 대정읍 하모리 2140,6:00:00,45,5000,1,0
22,제주를 느끼고 싶다면? 올레길 투어 12코스,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 대정읍 무릉리 중산간서로 2852,6:00:00,45,5000,1,0
23,제주를 느끼고 싶다면? 올레길 투어 13코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 한경면 용수리,5:00:00,45,5000,1,0
24,제주를 느끼고 싶다면? 올레길 투어 14코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 한경면 저지리,7:00:00,45,5000,1,0
25,제주를 느끼고 싶다면? 올레길 투어 15코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 한림읍 한림해안로 192,6:00:00,45,5000,1,0
26,제주를 느끼고 싶다면? 올레길 투어 16코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 애월읍 고내리 1103-1,6:00:00,45,5000,1,0
27,제주를 느끼고 싶다면? 올레길 투어 17코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 애월읍 광령리 1270-2,7:00:00,45,5000,1,0
28,제주를 느끼고 싶다면? 올레길 투어 18코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 일도1동 관덕로8길 7-9,7:00:00,45,5000,1,0
29,제주를 느끼고 싶다면? 올레길 투어 19코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 조천읍 조천리 1142-1,7:00:00,45,5000,1,0
30,제주를 느끼고 싶다면? 올레길 투어 20코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 구좌읍 김녕리,6:00:00,45,5000,1,0
31,제주를 느끼고 싶다면? 올레길 투어 21코스,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 구좌읍 하도리,4:00:00,45,5000,1,0
32,제주 식물원은 어디? 카멜리아 힐,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 안덕면 병악로 166,2:00:00,45,15000,1,0
33,신화는 제주에도 있다! 제주신화테마파크,제주,2020-04-01,2020-04-01,제주특별자치도 서귀포시 안덕면 신화역사로 304번길 98,3:00:00,45,10000,1,0
34,미로를 즐기고 싶다면? 제주김녕미로공원,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 구좌읍 만장굴길 122,3:00:00,45,7000,1,0
35,동심으로 돌아가자! 선녀와 나무꾼 테마공원,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 조천읍 선교로 267,2:00:00,45,10000,1,0
36,어린이들이 좋아하는 곰인형 여기있다! 테지움,제주,2020-04-01,2020-04-01,제주특별자치도 제주시 애월읍 평화로 2159,2:00:00,45,5000,1,0
37,"한라산 등반이 힘들다면 가장 짧게 둘러보는 한라산, 어승생악",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 해안동 산 220-13,2:00:00,45,5000,1,0
38,"제주 관아는 어떻게 생겼을까, 제주목 관아",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 삼도2동 관덕로7길 13,1:30:00,45,4000,1,0
39,"수목원은 여기, 한라수목원",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 연동 수목원길 72,2:00:00,45,10000,1,0
40,"제주의 역사에 대해 알고 싶다면, 국립제주박물관",제주,2020-04-01,2020-04-01,제주특별자치도 제주시 건입동 일주동로 17,1:00:00,45,5000,1,0
41,환상과 모험의 나라 도쿄 디즈니랜드,도쿄,2020-04-01,2020-04-01,"1-1 Maihama, Urayasu, Chiba 279-0031 Japan",6:00:00,45,50000,0,0
42,"도쿄에서 한적한 공원을 찾고 있다면, 우에노 공원",도쿄,2020-04-01,2020-04-01,"?110-0007 Tokyo, Taito City, Uenokoen, 8?? 池之端三丁目",2:00:00,45,5000,0,0
43,유명한 신사를 찾으시나요? 메이지 신궁,도쿄,2020-04-01,2020-04-01," 1-1 Yoyogikamizonocho, Shibuya City, Tokyo 151-8557",1:30:00,45,10000,0,0
44,일왕을 보고 싶으시다면 고쿄,도쿄,2020-04-01,2020-04-01,"1-1 Chiyoda, Chiyoda City, Tokyo 100-8111",1:30:00,45,5000,0,0
45,"도쿄에서 하이킹을 하고 싶다면, 다카오산",도쿄,2020-04-01,2020-04-01,?193-0844 東京都八王子市高尾町,4:00:00,45,10000,0,0
46,지브리 애니메이션을 좋아하시나요? 미타카의 숲 지브리 미술관,도쿄,2020-04-01,2020-04-01,"1 Chome-1-83 Shimorenjaku, Mitaka, Tokyo 181-0013",1:00:00,45,7000,0,0
